OBJECTID,lang,Titel,lat,lon,type_,pop,Height,Country,Subregion,Scale,dim,psize,style,t,image_,imagejpg,name,page_id,T_wikidata,Titel_aa,Titel_ab,Titel_ace,Titel_af,Titel_ak,Titel_als,Titel_am,Titel_an,Titel_ang,Titel_ar,Titel_arc,Titel_arz,Titel_ast,Titel_av,Titel_ay,Titel_az,Titel_ba,Titel_bar,Titel_bat_smg,Titel_bcl,Titel_be,Titel_be_x_old,Titel_bg,Titel_bh,Titel_bi,Titel_bm,Titel_bn,Titel_bo,Titel_bpy,Titel_br,Titel_bs,Titel_bug,Titel_bxr,Titel_ca,Titel_cbk_zam,Titel_cdo,Titel_ce,Titel_ceb,Titel_ch,Titel_cho,Titel_chr,Titel_chy,Titel_ckb,Titel_co,Titel_cr,Titel_crh,Titel_cs,Titel_csb,Titel_cu,Titel_cv,Titel_cy,Titel_da,Titel_de,Titel_diq,Titel_dsb,Titel_dv,Titel_dz,Titel_ee,Titel_el,Titel_eml,Titel_en,Titel_en_simple,Titel_eo,Titel_es,Titel_et,Titel_eu,Titel_ext,Titel_fa,Titel_ff,Titel_fi,Titel_fiu_vro,Titel_fj,Titel_fo,Titel_fr,Titel_frp,Titel_fur,Titel_fy,Titel_ga,Titel_gan,Titel_gd,Titel_gl,Titel_glk,Titel_gn,Titel_got,Titel_gu,Titel_gv,Titel_ha,Titel_hak,Titel_haw,Titel_he,Titel_hi,Titel_hif,Titel_ho,Titel_hr,Titel_hsb,Titel_ht,Titel_hu,Titel_hy,Titel_hz,Titel_ia,Titel_id,Titel_ie,Titel_ig,Titel_ii,Titel_ik,Titel_ilo,Titel_io,Titel_is,Titel_it,Titel_iu,Titel_ja,Titel_jbo,Titel_jv,Titel_ka,Titel_kaa,Titel_kab,Titel_kg,Titel_ki,Titel_kj,Titel_kk,Titel_kl,Titel_km,Titel_kn,Titel_ko,Titel_kr,Titel_ks,Titel_ksh,Titel_ku,Titel_kv,Titel_kw,Titel_ky,Titel_la,Titel_lad,Titel_lb,Titel_lbe,Titel_lg,Titel_li,Titel_lij,Titel_lmo,Titel_ln,Titel_lo,Titel_lt,Titel_lv,Titel_map_bms,Titel_mdf,Titel_mg,Titel_mh,Titel_mhr,Titel_mi,Titel_mk,Titel_ml,Titel_mn,Titel_mo,Titel_mr,Titel_ms,Titel_mt,Titel_mus,Titel_mwl,Titel_my,Titel_myv,Titel_mzn,Titel_na,Titel_nah,Titel_nap,Titel_nds,Titel_nds_nl,Titel_ne,Titel_new,Titel_ng,Titel_nl,Titel_nn,Titel_no,Titel_nostalgia,Titel_nov,Titel_nrm,Titel_nv,Titel_ny,Titel_oc,Titel_om,Titel_or,Titel_os,Titel_pa,Titel_pag,Titel_pam,Titel_pap,Titel_pcd,Titel_pdc,Titel_pi,Titel_pih,Titel_pl,Titel_pms,Titel_pnb,Titel_pnt,Titel_ps,Titel_pt,Titel_qu,Titel_rm,Titel_rmy,Titel_rn,Titel_ro,Titel_roa_rup,Titel_roa_tara,Titel_ru,Titel_rw,Titel_sa,Titel_sah,Titel_sc,Titel_scn,Titel_sco,Titel_sd,Titel_se,Titel_sg,Titel_sh,Titel_si,Titel_simple,Titel_sk,Titel_sl,Titel_sm,Titel_sn,Titel_so,Titel_sq,Titel_sr,Titel_srn,Titel_ss,Titel_st,Titel_stq,Titel_su,Titel_sv,Titel_sw,Titel_szl,Titel_ta,Titel_te,Titel_tet,Titel_tg,Titel_th,Titel_ti,Titel_tk,Titel_tl,Titel_tlh,Titel_tn,Titel_to,Titel_tokipona,Titel_tpi,Titel_tr,Titel_ts,Titel_tt,Titel_tum,Titel_tw,Titel_ty,Titel_udm,Titel_ug,Titel_uk,Titel_ur,Titel_uz,Titel_ve,Titel_vec,Titel_vi,Titel_vls,Titel_vo,Titel_wa,Titel_war,Titel_wo,Titel_wuu,Titel_xal,Titel_xh,Titel_yi,Titel_yo,Titel_za,Titel_zea,Titel_zh,Titel_zh_classical,Titel_zh_min_nan,Titel_zh_yue,Titel_zu,POINT_X,POINT_Y,article
"1,009",en,Cuicocha,0.300000000000000,-78.349999999999994,mountain,,,EC,,,,"4,939.0000000",mountain,,"Cuicocha,_Ecuador.jpg","Cuicocha,_Ecuador.jpg",,4505473,Q1143300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuicocha,,,,,,,,Cuicocha,,,Cuicocha,,Cuicocha,,,,,,,,Cuicocha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuikoča,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuykucha,,,,,,,,,,,,,,,,,,,,Cuicocha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Куїкоча,,,,,,,,,,,,,,,,,,,,,繪哥查,,-78.349999999999966,0.300000000000068,http://en.wikipedia.org/w/index.php?curid=4505473
"1,010",en,Cuicocha Lake,0.300016670000000,-78.350016670000002,waterbody,,,EC,,,,650.0000000,waterbody,,Cuicocha.JPG,Cuicocha.JPG,,10918700,Q5192735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuicocha Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.350016669999945,0.300016670000048,http://en.wikipedia.org/w/index.php?curid=10918700
"1,011",en,Cumandá,-2.205833330000000,-79.133888889999994,city,5411,,EC,,,,"1,644.0000000",city,,Ecuador_location_map.svg,,,24225191,Q5193786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumandá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kumanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79.133888889999980,-2.205833329999962,http://en.wikipedia.org/w/index.php?curid=24225191
"1,012",en,Cumandá Canton,-2.200000000000000,-79.133333329999999,city,,,EC,,,,"2,533.0000000",city,,Chimborazo.JPG,Chimborazo.JPG,,25976853,Q2448719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumandá Canton,,,Cantón Cumandá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cantone di Cumandá,,,,,კუმანდის კანტონი,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumandá (cantão),Kumanta kiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79.133333329999971,-2.199999999999932,http://en.wikipedia.org/w/index.php?curid=25976853
"1,013",en,Cumbayá,-0.200000000000000,-78.433333329999996,city,30000,,EC,,,,"7,827.0000000",city,,Ecuador_location_map.svg,,,2977342,Q5193804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumbayá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumbayá kitilli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.433333329999982,-0.199999999999932,http://en.wikipedia.org/w/index.php?curid=2977342
"1,014",en,Cumbal Volcano,0.949000000000000,-77.888000000000005,mountain,,,CO,,,,"1,242.0000000",mountain,,Colombia_relief_location_map.jpg,Colombia_relief_location_map.jpg,,9006729,Q2019666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumbal,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumbal Volcano,,,Volcán Cumbal,,,,آتشفشان کومبال,,,,,,Cumbal (volcan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumbal (vulcano),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumbal (vulkaan),,,,,,,,,,,Кумбаль,,,,,,,,,Cumbal (wulkan),,,,,,,,,,,,,Кумбаль,,,,,,,,,,,,,Cumbal,,,,,,,,,,,,Cumbal,,,,,,,,,,,,,,,,,,,,,,,,Кумбаль,,,,,,,,,,,,,,,,,,昆巴爾火山,,,,,-77.887999999999977,0.949000000000069,http://en.wikipedia.org/w/index.php?curid=9006729
"1,015",en,"Cumbe, Ecuador",-3.083333330000000,-79.016666670000006,city,5010,,EC,,,,"2,515.0000000",city,,Ecuador_location_map.svg,,,26347978,Q5193809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cumbe, Ecuador",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kumpi kitilli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79.016666669999950,-3.083333329999960,http://en.wikipedia.org/w/index.php?curid=26347978
"1,016",en,Cumbitara,1.676940000000000,-77.325299999999999,,,,,,,,"2,217.0000000",,,Colombia_-_Nariño_-_Cumbitara.svg,,,10706642,Q927628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumbitara,,,Cumbitara,,,,,,,,,,Cumbitara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumbitara,,,,,კუმბიტარა,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumbitara,,,,,,,,,,,,,,,Cumbitara,,,,,,,,,,,,,,,,,,,,,,,,,Cumbitara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumbitara,,,,,,,,,,,,,,,,,,,Cumbitara,,,,Cumbitara,,,,,,,,,昆比塔拉,,,,,-77.325299999999970,1.676940000000059,http://en.wikipedia.org/w/index.php?curid=10706642
"1,017",en,Curillo,1.033333330000000,-75.916666669999998,city,,,CO,,,,"2,267.0000000",city,,Colombia_-_Caqueta_-_Curillo.svg,,,10847053,Q660268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Curillo,,,Curillo,,,,,,,,,,Curillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Curillo,,,,,კურილიო,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Curillo,,,,,,,,,,,,,,,Currillo,,,,,,,,,,,,,,,,,,,,,,,,,Curillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Curillo,,,,,,,,,,,,,,,,,,,Curillo,,,,Curillo,,,,,,,,,庫里略,,,,,-75.916666669999984,1.033333330000062,http://en.wikipedia.org/w/index.php?curid=10847053
"1,018",en,Cuyabeno Wildlife Reserve,-0.116700000000000,-75.833299999999994,landmark,,,EC,U,,,"11,366.0000000",landmark,,Ambox_content.png,Ecuador.jpg,,22118991,Q917251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naturreservat Cuyabeno,,,,,,,,Cuyabeno Wildlife Reserve,,,Reserva de producción faunística Cuyabeno,,,,,,,,,,Réserve de Cuyabeno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuyawinu risirwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.833299999999952,-0.116699999999980,http://en.wikipedia.org/w/index.php?curid=22118991
"1,019",en,Cuyabeno Canton,-0.128888890000000,-76.413888889999996,adm2nd,,,CO,,,,"2,517.0000000",adm2nd,,Cantones_de_Sucumbíos.png,,,26041740,Q1990065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuyabeno Canton,,,Cantón Cuyabeno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cantone di Cuyabeno,,,,,კუიაბენოს კანტონი,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuyawinu kiti,,,,,,,Куйабено,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-76.413888889999953,-0.128888889999928,http://en.wikipedia.org/w/index.php?curid=26041740
"1,020",en,Déleg Canton,-2.772600000000000,-78.918300000000002,city,,,EC,,,,"2,402.0000000",city,,Cantones_de_Cañar.png,,,25976624,Q2466518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Déleg Canton,,,Cantón Déleg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cantone di Déleg,,,,,დელეგის კანტონი,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Déleg (cantão),Déleg kiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.918299999999988,-2.772599999999954,http://en.wikipedia.org/w/index.php?curid=25976624
"1,021",en,Daphne Island,-0.422508000000000,-90.372011999999998,,,,,,,,"2,311.0000000",,,Commons-logo.svg,DaphneMajor.jpg,,2845297,Q518089,,,,,,,,,,,,,,,,,,,,,,,Дафне (остров),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daphne Major,,,,,,,,Daphne Island,,,Islas Daphne (Galápagos),,,,,,,,,,Île Daphne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,다프네 섬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hatun Daphne wat'a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daphne (đảo),,,,,,,,,,,,,大達夫尼島,,,,,-90.372011999999984,-0.422507999999937,http://en.wikipedia.org/w/index.php?curid=2845297
"1,022",en,Darwin Island,1.678000000000000,-92.003000000000000,,,,,,,,"4,604.0000000",,,Cercle_rouge_100%.svg,Darwinarch.jpg,,4824806,Q492703,,,,,,,,,,,,,,,,,,,,,Востраў Дарвін,,,,,,,,,Darwin (Galápagos),,,,,,,,,,,,,,,,,,,,,,,Darwin (Galápagos),,,,,,,,Darwin Island,,,Isla Darwin (Galápagos),,Darwin uhartea,,,,,,,,Île Darwin (îles Galápagos),,,,,,,,,,,,,,,,,डार्विन (गैलापागोस),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,다윈 섬,,,,,,,,,,,,,,,,,,Darvino sala,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darwin (eiland),Darwin Island,Darwin (Galápagos),,,,,,,,,,,,,,,,,,,,,,,Ilha de Darwin (Galápagos),Darwin wat'a,,,,,,,Дарвин (остров),,,,,,,,,,,,,,Darwin (Galápagos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,達爾文島 (加拉帕戈斯群島),,,,,-92.002999999999986,1.678000000000054,http://en.wikipedia.org/w/index.php?curid=4824806
"1,023",en,Datem del Marañón Province,-4.830000000000000,-76.700000000000003,adm2nd,,,,,,,"1,362.0000000",adm2nd,,Location_of_the_province_Datem_del_Marañón_in_Loreto.svg,,,14090005,Q2017690,,,,,,,,,,,,,,,Datem del Marañon jisk'a suyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Datem del Marañón Province,,,Provincia del Datem del Marañón,,,,,,,,,,Province de Datem del Marañón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Provincia di Datem del Marañón,,,,,დატემ-დელ-მარანიონი (პროვინცია),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Datem del Marañón,,,,,,,,,,,,,,,,,,,,Prowincja Datem del Marañón,,,,,Datem del Marañón (província),Datem del Marañón pruwinsya,,,,,,,Датем-дель-Мараньон,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dátem del Marañón (lalawigan),,,,,,,,,,,,,,-76.699999999999989,-4.829999999999927,http://en.wikipedia.org/w/index.php?curid=14090005
"1,024",en,Daule Canton,-1.866666670000000,-79.983333329999994,,,,EC,,,,865.0000000,,,Flag-map_of_Ecuador.svg,,,16936248,Q1990162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daule Canton,,,Cantón Daule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cantone di Daule,,,,,დაულეს კანტონი,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daule kiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79.983333329999937,-1.866666669999972,http://en.wikipedia.org/w/index.php?curid=16936248
"1,025",en,"Daule, Guayas",-1.866666670000000,-79.983333329999994,city,34632,,EC,,,,792.0000000,city,,Flag-map_of_Ecuador.svg,,,1851415,Q1014430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daule,,,,,,,,"Daule, Guayas",,,Daule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daulė,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daule,,,,,,Daule,,,,Daule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79.983333329999937,-1.866666669999972,http://en.wikipedia.org/w/index.php?curid=1851415
"1,026",en,"Daule, Esmeraldas",0.566666670000000,-80.000000000000000,city,,,EC,,,,"11,469.0000000",city,,Contour_Map.jpg,Daule.jpg,,10155109,Q5228022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Daule, Esmeraldas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79.999999999999943,0.566666670000075,http://en.wikipedia.org/w/index.php?curid=10155109
"1,027",en,Deportivo Pasto,1.198055560000000,-77.277500000000003,,,,,,,,"6,647.0000000",,,Commons-logo.svg,,,3944391,Q332858,,,,,,,,,,ديبورتيفو باستو,,,,,,,,,,,,,,,,,,,,,,,,Asociación Deportivo Pasto,,,,,,,,,,,,,,,,,,,Deportivo Pasto,,,,,,,,Deportivo Pasto,,,Asociación Deportivo Pasto,,,,,,,,,,Asociación Deportivo Pasto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asociación Deportivo Pasto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,,,,,Asociación Deportivo Pasto,,,,,,,,Депортиво Пасто,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.277499999999975,1.198055560000057,http://en.wikipedia.org/w/index.php?curid=3944391
"1,028",en,Doña Juana,1.470000000000000,-76.920000000000002,,,,,,,,"3,954.0000000",,,CV_Dona_Juana.jpg,CV_Dona_Juana.jpg,,9007810,Q26546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doña Juana,,,,,,,,,,,,,,,,,,,,,,,,,,,Doña Juana,,,,,,,دونیا خوآنا,,,,,,Doña Juana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doña Juana,,,,,,,,,,,Доньйæ-Хуанæ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doña Juana (sopka),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Донья-Хуана,,,,,,,,,,,,,,,,,,唐娜胡安娜火山,,,,,-76.919999999999959,1.470000000000027,http://en.wikipedia.org/w/index.php?curid=9007810
"1,029",en,Doña Juana-Cascabel Volcanic Complex,1.466666670000000,-76.816666670000004,,,,CO,,,,"2,276.0000000",,,CV_Dona_Juana.jpg,CV_Dona_Juana.jpg,,10852882,Q3364556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doña Juana-Cascabel Volcanic Complex,,,Parque nacional natural Complejo Volcánico Doña Juana – Cascabel,,,,,,,,,,Parc national naturel du complexe volcanique de Doña Juana-Cascabel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-76.816666669999961,1.466666670000052,http://en.wikipedia.org/w/index.php?curid=10852882
"1,030",en,"Durán, Ecuador",-2.173333330000000,-79.831111109999995,city,235769,,EC,G,,,"5,694.0000000",city,,Bandera_de_Guayaquil.svg,Duran.jpg,,1847492,Q1120810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Durán,,,,,,,,"Durán, Ecuador",,Durán,Durán (ciudad),,,,,,,,,,Durán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Durán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Duranas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Durán,,,,,Durán (Equador),Durán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Durán,,,,,,,,,,,杜蘭 (厄瓜多爾),,,,,-79.831111109999938,-2.173333329999934,http://en.wikipedia.org/w/index.php?curid=1847492
"1,031",en,Durán Canton,-2.166666670000000,-79.833333330000002,city,,,EC,,,,"2,560.0000000",city,,Flag-map_of_Ecuador.svg,,,25988774,Q2051891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Durán Canton,,,Cantón Durán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cantone di Durán,,,,,დურანის კანტონი,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Durán kiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79.833333329999959,-2.166666669999927,http://en.wikipedia.org/w/index.php?curid=25988774
"1,032",en,Echeandía,-1.433333330000000,-79.266666670000006,city,4576,,EC,,,,"1,763.0000000",city,,Ecuador_location_map.svg,,,24385833,Q5332366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Echeandía,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Echeandía,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79.266666669999950,-1.433333329999925,http://en.wikipedia.org/w/index.php?curid=24385833
"1,033",en,Echeandía Canton,-1.433333330000000,-79.266666670000006,city,,,EC,,,,"2,551.0000000",city,,Cantones_de_Bolívar.png,,,25976508,Q2466090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Echeandía Canton,,,Cantón Echeandía,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cantone di Echeandía,,,,,ეჩეანდიის კანტონი,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Echeandía (cantão),Echeandía kiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79.266666669999950,-1.433333329999925,http://en.wikipedia.org/w/index.php?curid=25976508
